shipping_address,coupon_code,quantity
123 Nguyễn Văn Cừ Q5 TP.HCM,SAVE10,1
456 Lê Lợi Q1 TP.HCM,BIGBUY,2
789 Cách Mạng Tháng 8 Q3 TP.HCM,VIP100,1
12 Trần Hưng Đạo Q5 TP.HCM,,2
34 Lý Thường Kiệt Q10 TP.HCM,SAVE10,1
56 Hai Bà Trưng Q1 TP.HCM,BIGBUY,3
78 Điện Biên Phủ Bình Thạnh TP.HCM,VIP100,2
90 Hoàng Văn Thụ Phú Nhuận TP.HCM,,1
11 Võ Văn Tần Q3 TP.HCM,SAVE10,2
22 Nam Kỳ Khởi Nghĩa Q1 TP.HCM,,1
33 Nguyễn Thị Minh Khai Q1 TP.HCM,SAVE10,1
44 Pasteur Q1 TP.HCM,BIGBUY,2
55 Đinh Tiên Hoàng Bình Thạnh TP.HCM,,3
66 Ba Tháng Hai Q10 TP.HCM,VIP100,1
77 Nguyễn Tri Phương Q5 TP.HCM,SAVE10,2
88 An Dương Vương Q5 TP.HCM,,1
99 Hùng Vương Q5 TP.HCM,BIGBUY,1
100 Xô Viết Nghệ Tĩnh Bình Thạnh TP.HCM,,2
101 Hoàng Diệu Q4 TP.HCM,VIP100,2
102 Khánh Hội Q4 TP.HCM,SAVE10,1
