email,password,role
test@eshop.com,Test1234!,user
admin@eshop.com,Admin123!,admin
user1@eshop.com,Password123!,user
user2@eshop.com,Password123!,user
user3@eshop.com,Password123!,user
user4@eshop.com,Password123!,user
user5@eshop.com,Password123!,user
user6@eshop.com,Password123!,user
user7@eshop.com,Password123!,user
user8@eshop.com,Password123!,user
user9@eshop.com,Password123!,user
user10@eshop.com,Password123!,user
user11@eshop.com,Password123!,user
user12@eshop.com,Password123!,user
user13@eshop.com,Password123!,user
user14@eshop.com,Password123!,user
user15@eshop.com,Password123!,user
user16@eshop.com,Password123!,user
user17@eshop.com,Password123!,user
user18@eshop.com,Password123!,user
user19@eshop.com,Password123!,user
user20@eshop.com,Password123!,user
user21@eshop.com,Password123!,user
user22@eshop.com,Password123!,user
user23@eshop.com,Password123!,user
user24@eshop.com,Password123!,user
user25@eshop.com,Password123!,user
user26@eshop.com,Password123!,user
user27@eshop.com,Password123!,user
user28@eshop.com,Password123!,user
user29@eshop.com,Password123!,user
user30@eshop.com,Password123!,user
user31@eshop.com,Password123!,user
user32@eshop.com,Password123!,user
user33@eshop.com,Password123!,user
user34@eshop.com,Password123!,user
user35@eshop.com,Password123!,user
user36@eshop.com,Password123!,user
user37@eshop.com,Password123!,user
user38@eshop.com,Password123!,user
user39@eshop.com,Password123!,user
user40@eshop.com,Password123!,user
user41@eshop.com,Password123!,user
user42@eshop.com,Password123!,user
user43@eshop.com,Password123!,user
user44@eshop.com,Password123!,user
user45@eshop.com,Password123!,user
user46@eshop.com,Password123!,user
user47@eshop.com,Password123!,user
user48@eshop.com,Password123!,user
user49@eshop.com,Password123!,user
user50@eshop.com,Password123!,user
wrong_user@eshop.com,WrongPass123!,user
invalid_pass@eshop.com,BadPassword999!,user
